topic,thread_id,comment_id,reply_to,comment_level,comment,argumentation,constructiveness,positive_stance,negative_stance,target_person,target_group,stereotype,sarcasm,mockery,insult,improper_language,aggressiveness,intolerance,toxicity,toxicity_level
CR,0_014,0_018,0_018,1,Vienen a pagarnos las pensiones,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
CR,0_015,0_019,0_019,1,Los mejores y los más valientes ,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_016,0_020,0_020,1,Un fan del afeitado clásico,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2
CR,0_017,0_021,0_021,1,Los mas valientes. Haz que pase!,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_018,0_022,0_022,1,Menos mal que con una buena paguita se relajara el muchacho y seguramente no seguira cortando cabezas,0,0,0,0,1,0,1,1,1,0,0,0,0,1,2
CR,0_019,0_023,0_023,1,"Los mejores, los más preparados.",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_000,0_024,0_002,2,zumo para cortar seria,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
CR,0_020,0_025,0_025,1,"Mucho texto, aguardo a la noticia en la sexta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_021,0_027,0_027,1,humor negro,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CR,0_022,0_028,0_028,1,"No, en ronda no tenemos playa, somos del interior, somos de la serrania de ronda. Un abrazo",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CR,0_023,0_029,0_029,1,"y todos esos, incluido el loco ese, en malaga. ayyy... en qué te has convertido ciudad mía.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CR,0_024,0_030,0_030,1,super buen chaval. maestro de escuela ya.,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
CR,0_025,0_031,0_031,1," Vienen los mejores (sicarios) y los mas valientes (convictos) =- ""pero no todos son iguales"" =- ""hurr durr me he cagado encima hurr""",0,0,0,0,1,1,1,1,0,0,1,0,0,1,2
CR,0_026,0_032,0_032,1,Lo que está claro es que ha llegado un ladrón menos.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
CR,0_027,0_033,0_033,1,Mis cosas no las toca nadie tampoco,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CR,0_002,0_034,0_004,2,¿Si? De momento de todos los que iban en la patera seguramente es el que mejor cama y comida ha tenido hasta el momento. Y tranquilo aunque se maten entre ellos solo sobreviven los que mejor matan.,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1
CR,0_028,0_035,0_035,1,Joder la pole... XD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_029,0_036,0_036,1,Podemos montar una conjunta forocochera para que esta bella persona tenga su paguita no?,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
CR,0_030,0_037,0_037,1,"Pobrete, lo que habrá sufrido para llegar a eso, le ofrezco la casa del shur de arriba para que puedo degollar tranquilo",0,0,0,0,1,0,0,1,1,0,0,1,0,1,2
CR,0_002,0_038,0_004,1,"Si, y el decapitador está en Málaga, y estoy seguro que en breve saldrá a la calle. A nuestras calles. O te crees que lo van a repatriar a Guinea? 

Así que sí, que sigan trayendo mas inmigrantes así... ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_031,0_039,0_039,1,"Los mejores, los más valientes. Me encanta ver cómo viene a Europa a cobrar paguitas gente que en sus países deberían de estar pudriéndose en una cárcel de mierda. Es lo que necesitamos, ver a toda la peor gentuza de África por nuestras calles, psicópatas, ladrones, asesinos, violadores, sin ningún control. Cuantos más mejor.",1,0,0,0,1,1,1,1,0,1,1,0,1,1,2
CR,0_000,0_040,0_024,2,Lo pensó el que se bebió el zumo.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
CR,0_032,0_041,0_041,1,"los mejores, los más valientes, los más preparados. este apuntaba a verdugo, creía que aquí había pena de muerte",0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
CR,0_033,0_043,0_043,1,"No pasa nada, él es el mas preparado y el mas valiente que ya lo decia la abuela Carmena.",0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
CR,0_000,0_044,0_002,2,Tremenda pole si señor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_034,0_045,0_045,1,Welcome refugees,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CR,0_035,0_046,0_046,1,Demuestra iniciativa. Que le den dos pagas.,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_036,0_047,0_047,1,"los mejores, los más sedientos",0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
CR,0_037,0_048,0_048,1,Los mejores. Los más valientes,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_038,0_049,0_049,1,Venid ya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_039,0_050,0_050,1,"Yo siempre he tenido una duda biológica sobre las decapitaciones, con un hacha vale, pero como puedes separar totalmente la cabeza del cuerpo con una daga? La columna vertebral no se romperá asi como asi imagino",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_040,0_051,0_051,1,Con el Zumo no se juega.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
CR,0_041,0_053,0_053,1,"Ufff que mal lo pasan los que se siben a una patera que las mafias los maltratan.


Deberíamos de poner un Costa Crucero cada 500m para rescatar a las pateras y construir un aeropuerto en Bab Sebta para que puedan cruzar el estrecho e un Airbus A380. Todo lo demás es cosas de fachas.",1,0,0,0,0,0,0,1,1,0,0,0,0,1,2
CR,0_013,0_054,0_017,2,"Claro, estaba ante un caso aislado.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_042,0_055,0_055,1,Está claro que vienen los mejores. Haced que pase putos rojos de mierda.,0,0,0,0,1,1,0,1,1,1,1,0,0,1,3
CR,0_039,0_056,0_050,2,No han dicho ya que vienen los mejores y los mas preparados?,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_043,0_057,0_057,1,El que mata a un ladrón...,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
CR,0_044,0_058,0_058,1,Son sus costumbres y hay que respetarlas...,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
CR,0_045,0_060,0_060,1,"Solo vienen los mejores, los más valientes",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_046,0_061,0_061,1,Los mas valientes,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_047,0_062,0_062,1,Jajaja Acojámosles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CR,0_048,0_063,0_063,1,en Ronda?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_013,0_064,0_017,2,Pura supervivencia. Me pones en riesgo? Te mato.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CR,0_049,0_065,0_065,1,"«Muchos pierden la cabeza allí subidos», se escucha decir a menudo a los que sobreviven al viaje. Ya te digo",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
CR,0_043,0_066,0_057,2,traficante de personas ≠ inmigrante ilegal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_050,0_067,0_067,1,Esto es lo que importas cuando los rescatas en lugar de hundirlos.,1,0,0,0,0,1,1,0,0,0,0,1,1,1,2
CR,0_051,0_068,0_068,1,Hay que darle cariño.,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_052,0_069,0_069,1,Dicen que ya le han buscado un puesto en una carnicería de Almería,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
CR,0_053,0_070,0_070,1,"Con lo difícil que es cortar un filete con nervios, no sé como cortan las cabezas tan bien.",1,0,0,0,0,1,1,1,0,0,0,0,0,1,2
CR,0_043,0_071,0_066,2,Maldito racista de mierda. Se dice migrante y las personas no son ilegales que me lo ha dicho la Marquesa de Galapagar.,0,0,0,1,1,0,0,1,1,1,1,0,0,1,2
CR,0_054,0_072,0_072,1,"VIENEN A PAGAR NUESTRAS PENSIONES. Son ciudadanos 10, tan válidos o más que tú. Debemos de darles más paguitas, para que se integren y nos ayuden como personas que somos",0,0,0,0,1,1,0,1,1,0,0,0,0,1,2
CR,0_055,0_073,0_073,1,"dejad de copiar noticia a periodistas q quieren destruir internet, el q le corto es el mafioso de la patera eso lo dicen al final",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_052,0_074,0_069,2,En Ronda no tenéis nada para él? Le queda mas cerca al muchacho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CR,0_056,0_076,0_076,1,"No pasa nada. Toda esta gente que decapita o que lanza a su propio bebé por la borda al llegar aquí se convierten en bellísimas personas. En un par de días están totalmente integrados, indistinguibles de cualquier otro europeo. Así que dejad de estigmatizar putos fachas. Un error lo puede tener cualquiera, pelillos a la mar.",1,0,0,0,0,1,1,1,1,1,1,0,1,1,2
CR,0_057,0_077,0_077,1,Invasión bárbara,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
CR,0_058,0_078,0_078,1,Viene una barca con uno sin cabeza y les dejan entrar a España jajaja venga dentro de nada todos con armadura para evitar que nos maten.,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
CR,0_059,0_079,0_079,1,"Si, seguro que el resto estaba en shock, si...",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
CR,0_060,0_080,0_080,1,"Oumar separó la cabeza del cuerpo de su víctima y la tiró por la borda. El cuerpo decapitado permaneció en la barca 45 minutos más. Hasta que Oumar decidió que los demás habían comprendido de lo que era capaz de hacer y que ninguno se rebelaría por el terrible crimen que acababa de cometer.
Realmente fue consecuente y aplico extremadamente el correctivo que mejor resultado puede dar ante una tripulacion que va a la deriva y que se puede amotinar en cualquier momento...aplico un correctivo a un ladron en circunstancias extremas y asi lo explica en su razonamiento.... el resto del viaje fue tranquilo y dentro del orden...
Este mismo correctivo es el que se aplica en el pais del que proceden y gracias a este tipo de metodos barbaros mantienen la delincuencia y las masas controladas.....despues vienen a paises civilizados y los correctivos que nosotros aplicamos son caricias para ellos y asi nos va con ellos....",1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
CR,0_061,0_081,0_081,1,"Vienen los mejores, los más preparados. En este caso tenía un master en decapitación.",0,0,0,0,1,0,0,1,1,0,0,0,0,1,2
CR,0_052,0_082,0_074,2,"Si, pero no tenemos playa. Un saludo desde Ronda, Malaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_062,0_083,0_083,1,"Los mejores, los más valientes",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_043,0_084,0_071,2,"se que estás de coña pero emigrante es el que se va, independientemente de otros factores e inmigrante es el que llega, es decir para nosotros son inmigrantes, de verdad hay peña que dice eso en serio?",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_052,0_085,0_082,2,Jeje sublime pole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_007,0_086,0_009,2,"Y los mejores, y los más valientes. La vieja dixit",0,0,0,0,1,0,0,1,0,1,0,0,0,1,2
CR,0_063,0_087,0_087,1,hazquepase,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CR,0_064,0_088,0_088,1,"És lo que tiene la inmigración sin control que te entra gente así, este por qué mira es un caso extremo y ni se espero a desembarcar.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_065,0_089,0_089,1,"Pues se siente uno más seguro andando por Málaga sabiendo estas cositas, di que sí.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CR,0_066,0_090,0_090,1,Los más valientes... Valientes hijos de puta,0,0,0,0,1,1,0,1,0,1,1,0,0,1,2
CR,0_052,0_091,0_069,2,Un abrazo desde El Ejido Tetuán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_000,0_093,0_002,2,Hajajaajja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_067,0_094,0_094,1,Bellisima persona debe ser....,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
CR,0_068,0_095,0_095,1,Inmigrantes de calidad. Perdón... Migrantes de calidad.,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
CR,0_043,0_096,0_084,2,"¿Cuánto llevas sin ver un telediario? Porque todos los días hay noticias sobre “migrantes” en TVE1, Telecirco y LaSecta...",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_069,0_097,0_097,1,Yo creo que fue sin querer. Se estaba comiendo una manzana y de repente un golpe de mar agitó la embarcación con tan mala fortuna que el pobre hombre se cayó hacia atrás y cercenó la cabeza del otro pobre migrante. La culpa la tienen el mar y los afiladores de cuchillos. El mar encima es de color azul y se podría insertar dentro de violencia machista.,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2
CR,0_070,0_098,0_098,1,hay que ser hp para robar un zumo en alta mar.,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2
CR,0_071,0_099,0_099,1,Estos no eran todos ingenieros industriales en paro en su país?,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
CR,0_072,0_100,0_100,1,"Los mejores, los más valientes , la España que quieres",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_073,0_101,0_101,1,"Vosotros sois la mayoría subnormales. Inhumanos e hijos de puta pero es que además no sabéis leer. Retrasados, está diciendo la noticia que el que llevaba la daga y le cortó la cabeza fue el puto mafioso que los metió en un barco de mierda a cambio de 2.500€.",1,0,0,1,0,1,0,0,0,1,1,0,0,1,3
CR,0_074,0_102,0_102,1,Se volvió loco en unas 14 horas que duró el viaje...,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CR,0_008,0_103,0_010,2,Que el karma te oiga.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_073,0_104,0_101,2,En europa eso se llama hacer labores humanitarias en una ONG.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CR,0_075,0_105,0_105,1,En Málaga he visto que está,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_076,0_106,0_106,1,¿4 páginas y sin la vieja? [Video Error - ID incorrecto],0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
CR,0_077,0_107,0_107,1,"Venid ya, los mas valientes, los mejores. Sin duda enriquecerá el país con sus buenas costumbres. Y si alguien no sabe apreciarlas es un hombre blanco racista heteropatriarcal.",0,0,0,0,1,1,0,1,1,0,0,0,0,1,2
CR,0_078,0_108,0_108,1,"Muy mal, el del zumo venía a pagar pensiones y por culpa de un asesino no va a poder cumplir con su sueño.",0,0,0,0,1,0,0,1,1,0,0,0,0,1,2
CR,0_079,0_109,0_109,1,"El mas valiente, pa españa",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_080,0_110,0_110,1,"Los mas valientes, los pagapensiones ( a machetazos )",0,0,0,0,1,1,0,1,1,0,0,0,0,1,2
CR,0_043,0_111,0_096,2,pues mucho  no entiendo pq llamarlo asi cuando la palabra no es ofensiva  putos progres,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
CR,0_073,0_112,0_101,1,"Este breve relato de historias varias en torno a lo que sucede en las pateras te lo has debido saltar:

Cita:
«La gente está muy desesperada por llegar a salvo a Europa. El mar es duro y conocemos historias de personas que, ante el miedo que les genera verse rodeados de agua, piensan que deben sacrificar un alma a cambio de sobrevivir. El otro día una mujer lanzó al mar a su bebé de pocos meses, como sacrificio, mientras iba en una patera. Y también un amigo desapareció de una barca hinchable que rescató Salvamento Marítimo. Estaban todos los que subieron excepto él... nos dicen que le obligaron a tirarse de la barca porque se hundía y era el que más pesaba»

El tío seria el mafioso y el que llevaba el barco, pero ahí lo tienes en Málaga. Igual pensaba establecerse aquí con lo que le cobró al resto.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_081,0_113,0_113,1,"Qué bien. Hay que ver con los ingenieros, doctores y demás cracks que nos llegan...",0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
CR,0_082,0_114,0_114,1,aqui le damos una paguita al pobre negro de los cojones,0,0,0,0,1,0,0,0,0,1,1,0,1,1,2
CR,0_083,0_115,0_115,1,Es doctor en su país.,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
CR,0_084,0_116,0_116,1,Yo lo siento pero es que ellos mismos son los que pagan 2500 euros a esa escoria para meterse en un barcucho dirección europa. Que eso es un pastizal allí.. en fin.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CR,0_002,0_117,0_004,2,Estaría bien que se inmolasen en las propias pateras.,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2
CR,0_085,0_118,0_118,1,touristgohomerefugeeswelcome,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
CR,0_073,0_119,0_101,2,Que los metió?? Se metieron ellos y además a cambio de un pastizal y haciendo al puto asesino mafioso rico. Que yo no tengo 2500 euros y cada uno de los iban en esa patera sí . Y con 2500 euros en África haces muchísimo más que aquí.,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1
CR,0_085,0_120,0_118,2,"Un cirujano shur, un cirujano",0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
CR,0_086,0_121,0_121,2,jajajajajajajajaj brutal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_087,0_122,0_122,1,Vienen los mejores.,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_088,0_123,0_123,1,Ahora estará en una cárcel viviendo mejor que antes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_053,0_124,0_070,1,"No te olvides que son sus costumbres, que a ellos no se les olvida.",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
CR,0_089,0_125,0_125,1,Venid ya!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_090,0_126,0_126,1,2.500 pagaba cada uno al corta cabezas. Esto es lo que fomentan los progres y las ONG's,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_091,0_127,0_127,1,"asciendan a ese hombre. Y una paga de 2.880 leuros. Los mejores, los más preparados. Los quiero aquí.",0,0,0,0,1,1,1,1,1,0,0,0,0,1,1
CR,0_092,0_128,0_128,1,"Detenido pero en tierras españolas, que es lo único que le preocupa al tío",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_093,0_129,0_129,1,"Pero oye, los muertos del mediterráneo es por culpa de los occidentales y tal",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CR,0_094,0_130,0_130,1,Podría dar clases de “coaching”,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_095,0_131,0_131,1,Vienen los mejores,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
CR,0_096,0_132,0_132,1,"los mejores, los mas degolladores",0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
CR,0_097,0_133,0_133,1,baia baia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_098,0_134,0_134,1,"Yo no juzgaría antes de conocerle. Quién sabe si uno se apostó un zumo y otro su cabeza. Si perdió, lo justo es que se la corte.",0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
CR,0_099,0_135,0_135,1,Buena gente están metiendo nuestros queridos progres españoles y europeos en Europa. En unos años serán nuestras cabezas las que rueden. Gracias progres.,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
CR,0_100,0_136,0_136,1,"los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano",0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
CR,0_101,0_137,0_137,1,Haz que pase,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_102,0_140,0_140,1,"Me hace risa porque en el reportaje intentan venderte sus historias como sufrimiento y superacion personal y si te paras a pensar un poco a la unica conclusion que llegas es que tan solo animales harian lo que describen, pero claro en esta sociedad donde te lo cuelan todo pues no puedes esperar mucho mas.",1,0,0,0,0,1,1,0,1,1,0,0,1,1,2
CR,0_073,0_141,0_101,2,"ya y la tierra es del viento
el dinero publico no es de nadie
brotes verdes
la culpa es de occidente por eso no les queda mas remedio que inmolarse
todas esas frases son de ""ilustrisimos"" de españa..la elite intelectual del pais
ya ves que el nivelazo nos deja al resto de los mortales como simples retrasados 
suerte que tu estas por encima del resto de mortales...sigue disfrutando de tu tremenda ignorancia jodido paleto",1,0,0,1,1,0,0,0,0,1,1,0,0,1,2
CR,0_103,0_142,0_142,1,Son victimas.,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CR,0_104,0_143,0_143,1,Ahora suelta esa alimaña en un pais occidental Beta,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
CR,0_105,0_144,0_144,1,"Que pena da leer los comentarios y ver que todo el mundo se lo toma a cachondeo, cuando la gente debería salir a la calle indignada a exigir a los políticos que paren de una puta vez esta importación de gentuza que está convirtiendo la sociedad en basura.
Pero ellos no hacen nada, vosotros hacéis chistes y la cruz roja y demás se ven sobrepasados diciendo que nunca han visto algo similar.
Desde luego tenemos la batalla perdida ",1,0,0,0,0,1,1,0,0,1,1,0,1,1,2
CR,0_086,0_145,0_121,2,¿Salir a la calle a qué? Si van a seguir viniendo igual igual y como se te ocurra decir algo te tachan de racista... Salir a la calle no sirve de nada.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CR,0_106,0_146,0_146,1,Si ya saben cómo se pone para que lo invitan,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
CR,0_107,0_147,0_147,1,"Esta es la gente que necesita España, que me lo ha dicho un progre.",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_022,0_148,0_028,2,Un saludo ronda malaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_108,0_149,0_149,1,Los más preparados.,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_109,0_150,0_150,1,"No sé qué puedo decir que no esté dicho en la primera página. Honk honk!!! Sonrían!! El mundo se va a la mierda, pero no olviden sonreír! ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CR,0_110,0_151,0_151,1,"Costumbres tercermundistas que disfrutamos ya en Europa gracias a nuestros políticos progres, disfruten lo votado.",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
CR,0_111,0_152,0_152,1,Siglos de ventaja.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_112,0_153,0_153,1,"Pues un héroe el que se bebió el zumo, de no haberlo hecho este estaría vendiendo corbatas por los bares",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
CR,0_107,0_154,0_147,2,seguro que tiene mas dominio del bisturí que muchos cirujanos,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
CR,0_113,0_155,0_155,1,No le dejamos otra salida que decapitar a un compañero,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_114,0_156,0_156,1,Son sus costumbres y hay que respetarlas,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
CR,0_115,0_157,0_157,1,Los mejores y los más valientes.,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
CR,0_116,0_158,0_158,1,"Los mejores, los más preparados. Este es uno de los problemas de la inmigración descontrolada, que no tienes ni puñetera idea de quien entra.",1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
CR,0_086,0_159,0_145,2,"Van a seguir viendo igual pero se les puede expulsar en vez de darles papeles y una paguita provocando un efecto llamada por el que cada vez van a venir mas.
Salir a la calle a exigir esto a los políticos es solo un primer aviso. El siguiente si no cambian seria dejar de votarles.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CR,0_086,0_160,0_159,2,"Es un tema tabú que nunca dará un paso atrás. En Euskadi PNV, Bildu, PSOE y PP van de la mano.en ese sentido. Ahí ves claro que es imposible hacer que pase algo decente.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_117,0_161,0_161,1,"«Muchos pierden la cabeza allí subidos», se escucha decir a menudo a los que sobreviven al viaje.
La comedia se abre camino ahí...",0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
CR,0_118,0_162,0_162,1,Son sus costumbres.,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
CR,0_119,0_163,0_163,1,son sus costumbres y hay que respetarlas..,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
CR,0_003,0_164,0_005,2,"me has pillado con la guardia baja, cabrón xd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_086,0_165,0_160,2,"Pues nada, lo dicho. Somos una sociedad blanda y pasiva, incapaz de moverse y tomar medidas para exigir nada y ellos son todo lo contrario, gente sin miedo y dispuesta a todo = batalla perdida.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0_120,0_166,0_166,1,vienen a pagarnos las pensiones,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
CR,0_121,0_167,0_167,1,Nos ha quitado la oportunidad de tener a otro pagando pensiones y encima le vamos a tener que pagar a él la manutención.,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
CR,0_122,0_168,0_168,1,Este bestia mostró cómo era. Pero lo cierto es que cada día llega gente sin referencia alguna de países violentos en los que la vida no vale nada. Mientras disfrutando lo votado del efecto llamada de Falconetti.,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
CR,0_123,0_169,0_169,1,"Merece una paga y un piso, almenos nos libró de un negro más",0,0,0,0,1,1,0,0,1,0,0,0,1,1,2
